# z rho/M
-105.681 0
-105.181 0
-104.681 0
-104.181 0
-103.681 0
-103.181 0
-102.681 0
-102.181 0
-101.681 0
-101.181 0
-100.681 0
-100.181 0
-99.6809 0
-99.1809 0
-98.6809 0
-98.1809 0
-97.6809 0
-97.1809 0
-96.6809 0
-96.1809 0
-95.6809 0
-95.1809 0
-94.6809 0
-94.1809 0
-93.6809 0
-93.1809 0
-92.6809 0
-92.1809 0
-91.6809 0
-91.1809 0
-90.6809 0
-90.1809 0
-89.6809 0
-89.1809 0
-88.6809 0
-88.1809 0
-87.6809 0
-87.1809 0
-86.6809 0
-86.1809 0
-85.6809 0
-85.1809 0
-84.6809 0
-84.1809 0
-83.6809 0
-83.1809 0
-82.6809 0
-82.1809 0
-81.6809 0
-81.1809 0
-80.6809 0
-80.1809 0
-79.6809 0
-79.1809 0
-78.6809 0
-78.1809 0
-77.6809 0
-77.1809 0
-76.6809 0
-76.1809 0
-75.6809 0
-75.1809 0
-74.6809 0
-74.1809 0
-73.6809 0
-73.1809 0
-72.6809 0
-72.1809 0
-71.6809 0
-71.1809 0
-70.6809 0
-70.1809 0
-69.6809 0
-69.1809 0
-68.6809 0
-68.1809 0
-67.6809 0
-67.1809 0
-66.6809 0
-66.1809 0
-65.6809 0
-65.1809 0
-64.6809 0
-64.1809 0
-63.6809 0
-63.1809 0
-62.6809 0
-62.1809 0
-61.6809 0
-61.1809 0
-60.6809 0
-60.1809 0
-59.6809 0
-59.1809 0
-58.6809 0
-58.1809 0
-57.6809 0
-57.1809 0
-56.6809 0
-56.1809 0
-55.6809 0
-55.1809 0
-54.6809 0
-54.1809 0
-53.6809 0
-53.1809 0
-52.6809 0
-52.1809 0
-51.6809 0
-51.1809 0
-50.6809 0
-50.1809 0
-49.6809 0
-49.1809 0
-48.6809 0
-48.1809 0
-47.6809 0
-47.1809 0
-46.6809 0
-46.1809 0
-45.6809 0
-45.1809 0
-44.6809 0
-44.1809 0
-43.6809 0
-43.1809 0
-42.6809 0
-42.1809 0
-41.6809 0
-41.1809 0
-40.6809 0
-40.1809 0
-39.6809 0
-39.1809 0
-38.6809 0
-38.1809 0
-37.6809 0
-37.1809 0
-36.6809 0
-36.1809 0
-35.6809 0
-35.1809 0
-34.6809 0
-34.1809 0
-33.6809 0
-33.1809 0
-32.6809 0
-32.1809 0
-31.6809 0
-31.1809 0
-30.6809 0
-30.1809 0
-29.6809 0
-29.1809 0
-28.6809 0.000332776
-28.1809 0.000332776
-27.6809 0.000332776
-27.1809 0.0013311
-26.6809 0.000665552
-26.1809 0.00432609
-25.6809 0.0123127
-25.1809 0.0183027
-24.6809 0.0532442
-24.1809 0.115473
-23.6809 0.239932
-23.1809 0.47953
-22.6809 0.808313
-22.1809 1.25523
-21.6809 1.83659
-21.1809 2.40797
-20.6809 2.98467
-20.1809 3.47751
-19.6809 3.70047
-19.1809 3.82792
-18.6809 3.75871
-18.1809 3.97069
-17.6809 3.91844
-17.1809 3.78699
-16.6809 3.5028
-16.1809 3.00896
-15.6809 2.34408
-15.1809 1.74774
-14.6809 1.18701
-14.1809 0.708813
-13.6809 0.391345
-13.1809 0.198667
-12.6809 0.0958395
-12.1809 0.0376037
-11.6809 0.0202993
-11.1809 0.00632275
-10.6809 0.00366054
-10.1809 0.00199666
-9.68093 0.000998328
-9.18093 0.000332776
-8.68093 0
-8.18093 0.000332776
-7.68093 0
-7.18093 0
-6.68093 0
-6.18093 0
-5.68093 0
-5.18093 0
-4.68093 0
-4.18093 0
-3.68093 0
-3.18093 0
-2.68093 0
-2.18093 0
-1.68093 0
-1.18093 0
-0.680934 0
-0.180934 0
0.319066 0
0.819066 0
1.31907 0
1.81907 0
2.31907 0
2.81907 0
3.31907 0
3.81907 0
4.31907 0
4.81907 0
5.31907 0
5.81907 0
6.31907 0
6.81907 0
7.31907 0
7.81907 0
8.31907 0.000332776
8.81907 0.000665552
9.31907 0.000332776
9.81907 0.00199666
10.3191 0.00432609
10.8191 0.013311
11.3191 0.0239599
11.8191 0.0509148
12.3191 0.0811974
12.8191 0.198002
13.3191 0.386686
13.8191 0.715469
14.3191 1.16771
14.8191 1.76771
15.3191 2.33542
15.8191 2.97968
16.3191 3.52377
16.8191 3.81029
17.3191 3.88017
17.8191 3.94839
18.3191 3.82892
18.8191 3.79398
19.3191 3.74639
19.8191 3.46254
20.3191 3.01029
20.8191 2.43193
21.3191 1.82361
21.8191 1.27653
22.3191 0.769046
22.8191 0.437933
23.3191 0.243592
23.8191 0.112478
24.3191 0.0569047
24.8191 0.0196338
25.3191 0.0069883
25.8191 0.00199666
26.3191 0.00199666
26.8191 0.000998328
27.3191 0.000332776
27.8191 0
28.3191 0
28.8191 0
29.3191 0
29.8191 0
30.3191 0
30.8191 0
31.3191 0
31.8191 0
32.3191 0
32.8191 0
33.3191 0
33.8191 0
34.3191 0
34.8191 0
35.3191 0
35.8191 0
36.3191 0
36.8191 0
37.3191 0
37.8191 0
38.3191 0
38.8191 0
39.3191 0
39.8191 0
40.3191 0
40.8191 0
41.3191 0
41.8191 0
42.3191 0
42.8191 0
43.3191 0
43.8191 0
44.3191 0
44.8191 0
45.3191 0
45.8191 0
46.3191 0
46.8191 0
47.3191 0
47.8191 0
48.3191 0
48.8191 0
49.3191 0
49.8191 0
50.3191 0
50.8191 0
51.3191 0
51.8191 0
52.3191 0
52.8191 0
53.3191 0
53.8191 0
54.3191 0
54.8191 0
55.3191 0
55.8191 0
56.3191 0
56.8191 0
57.3191 0
57.8191 0
58.3191 0
58.8191 0
59.3191 0
59.8191 0
60.3191 0
60.8191 0
61.3191 0
61.8191 0
62.3191 0
62.8191 0
63.3191 0
63.8191 0
64.3191 0
64.8191 0
65.3191 0
65.8191 0
66.3191 0
66.8191 0
67.3191 0
67.8191 0
68.3191 0
68.8191 0
69.3191 0
69.8191 0
70.3191 0
70.8191 0
71.3191 0
71.8191 0
72.3191 0
72.8191 0
73.3191 0
73.8191 0
74.3191 0
74.8191 0
75.3191 0
75.8191 0
76.3191 0
76.8191 0
77.3191 0
77.8191 0
78.3191 0
78.8191 0
79.3191 0
79.8191 0
80.3191 0
80.8191 0
81.3191 0
81.8191 0
82.3191 0
82.8191 0
83.3191 0
83.8191 0
84.3191 0
84.8191 0
85.3191 0
85.8191 0
86.3191 0
86.8191 0
87.3191 0
87.8191 0
88.3191 0
88.8191 0
89.3191 0
89.8191 0
90.3191 0
90.8191 0
91.3191 0
91.8191 0
92.3191 0
92.8191 0
93.3191 0
93.8191 0
94.3191 0
94.8191 0
95.3191 0
95.8191 0
96.3191 0
96.8191 0
97.3191 0
97.8191 0
98.3191 0
98.8191 0
99.3191 0
99.8191 0
100.319 0
100.819 0
101.319 0
101.819 0
102.319 0
102.819 0
103.319 0
103.819 0
104.319 0
104.819 0
105.319 0
