# z rho/M
-107.922 0
-107.422 0
-106.922 0
-106.422 0
-105.922 0
-105.422 0
-104.922 0
-104.422 0
-103.922 0
-103.422 0
-102.922 0
-102.422 0
-101.922 0
-101.422 0
-100.922 0
-100.422 0
-99.922 0
-99.422 0
-98.922 0
-98.422 0
-97.922 0
-97.422 0
-96.922 0
-96.422 0
-95.922 0
-95.422 0
-94.922 0
-94.422 0
-93.922 0
-93.422 0
-92.922 0
-92.422 0
-91.922 0
-91.422 0
-90.922 0
-90.422 0
-89.922 0
-89.422 0
-88.922 0
-88.422 0
-87.922 0
-87.422 0
-86.922 0
-86.422 0
-85.922 0
-85.422 0
-84.922 0
-84.422 0
-83.922 0
-83.422 0
-82.922 0
-82.422 0
-81.922 0
-81.422 0
-80.922 0
-80.422 0
-79.922 0
-79.422 0
-78.922 0
-78.422 0
-77.922 0
-77.422 0
-76.922 0
-76.422 0
-75.922 0
-75.422 0
-74.922 0
-74.422 0
-73.922 0
-73.422 0
-72.922 0
-72.422 0
-71.922 0
-71.422 0
-70.922 0
-70.422 0
-69.922 0
-69.422 0
-68.922 0
-68.422 0
-67.922 0
-67.422 0
-66.922 0
-66.422 0
-65.922 0
-65.422 0
-64.922 0
-64.422 0
-63.922 0
-63.422 0
-62.922 0
-62.422 0
-61.922 0
-61.422 0
-60.922 0
-60.422 0
-59.922 0
-59.422 0
-58.922 0
-58.422 0
-57.922 0
-57.422 0
-56.922 0
-56.422 0
-55.922 0
-55.422 0
-54.922 0
-54.422 0
-53.922 0
-53.422 0
-52.922 0
-52.422 0
-51.922 0
-51.422 0
-50.922 0
-50.422 0
-49.922 0
-49.422 0
-48.922 0
-48.422 0
-47.922 0
-47.422 0
-46.922 0
-46.422 0
-45.922 0
-45.422 0
-44.922 0
-44.422 0
-43.922 0
-43.422 0
-42.922 0
-42.422 0
-41.922 0
-41.422 0
-40.922 0
-40.422 0
-39.922 0
-39.422 0
-38.922 0
-38.422 0
-37.922 0
-37.422 0
-36.922 0
-36.422 0
-35.922 0
-35.422 0
-34.922 0
-34.422 0
-33.922 0
-33.422 0
-32.922 0
-32.422 0
-31.922 0
-31.422 0
-30.922 0
-30.422 0
-29.922 0
-29.422 0
-28.922 0
-28.422 0
-27.922 0.000169917
-27.422 0.000254875
-26.922 0.00127437
-26.422 0.00178412
-25.922 0.00696658
-25.422 0.0173315
-24.922 0.0404401
-24.422 0.0903106
-23.922 0.187418
-23.422 0.36685
-22.922 0.645343
-22.422 1.03819
-21.922 1.50716
-21.422 2.06219
-20.922 2.56625
-20.422 3.03182
-19.922 3.37284
-19.422 3.6527
-18.922 3.84793
-18.422 3.97256
-17.922 3.95855
-17.422 3.87401
-16.922 3.67512
-16.422 3.36817
-15.922 2.89138
-15.422 2.36677
-14.922 1.70503
-14.422 1.18551
-13.922 0.732935
-13.422 0.411623
-12.922 0.209422
-12.422 0.0999109
-11.922 0.0456226
-11.422 0.0210697
-10.922 0.00798608
-10.422 0.00484262
-9.92202 0.00212396
-9.42202 0.00195404
-8.92202 0.000849583
-8.42202 0.000594708
-7.92202 0.000339833
-7.42202 0.000424791
-6.92202 0.000849583
-6.42202 8.49583e-05
-5.92202 0
-5.42202 0
-4.92202 0
-4.42202 0
-3.92202 0
-3.42202 0
-2.92202 0
-2.42202 0
-1.92202 0
-1.42202 0
-0.922022 0
-0.422022 0
0.0779776 0
0.577978 0
1.07798 0
1.57798 0
2.07798 0
